index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,6080.0,6148.0,6150.0,6068.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.0,1.118421,1.011184,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,6110.0,6068.0,6116.0,6036.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-42.0,-0.687398,0.993126,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-06,2,20140106,6054.0,5976.0,6062.0,5958.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-78.0,-1.288404,0.987116,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-07,3,20140107,5992.0,5936.0,5992.0,5902.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-56.0,-0.934579,0.990654,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-08,4,20140108,5920.0,5786.0,5928.0,5776.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-134.0,-2.263514,0.977365,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-09,5,20140109,5800.0,5812.0,5866.0,5768.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.0,0.206897,1.002069,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-10,6,20140110,5832.0,5850.0,5882.0,5824.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.308642,1.003086,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-13,7,20140113,5862.0,5828.0,5874.0,5788.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-34.0,-0.580007,0.9942,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-14,8,20140114,5806.0,5848.0,5854.0,5794.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42.0,0.72339,1.007234,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-15,9,20140115,5830.0,5780.0,5854.0,5770.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-50.0,-0.857633,0.991424,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-16,10,20140116,5818.0,5836.0,5866.0,5818.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.309385,1.003094,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-17,11,20140117,5830.0,5824.0,5846.0,5798.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-6.0,-0.102916,0.998971,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3601206968720962,0.0,1.0
2014-01-20,12,20140120,5806.0,5922.0,5934.0,5766.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,116.0,1.997933,1.019979,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.408606589544171,0.0,1.0
2014-01-21,13,20140121,5910.0,5888.0,5934.0,5876.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-22.0,-0.37225,0.996277,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.4774127216911865,0.0,1.0
2014-01-22,14,20140122,5880.0,5866.0,5920.0,5858.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-14.0,-0.238095,0.997619,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.2652402196055517,0.0,1.0
2014-01-23,15,20140123,5854.0,5846.0,5874.0,5816.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.0,-0.136659,0.998633,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.2974656308378465,0.0,1.0
2014-01-24,16,20140124,5860.0,5842.0,5884.0,5830.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-18.0,-0.307167,0.996928,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3363889252298924,0.0,1.0
2014-01-27,17,20140127,5840.0,5774.0,5846.0,5752.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-66.0,-1.130137,0.988699,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.383495268521483,0.0,1.0
2014-01-28,18,20140128,5744.0,5660.0,5750.0,5660.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-84.0,-1.462396,0.985376,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.4280616329618239,0.0,1.0
2014-01-29,19,20140129,5694.0,5672.0,5726.0,5662.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-22.0,-0.386372,0.996136,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3353508593050227,0.0,1.0
2014-01-30,20,20140130,5662.0,5672.0,5704.0,5632.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.0,0.176616,1.001766,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3522836359732762,0.0,1.0
2014-02-07,21,20140207,5780.0,5804.0,5858.0,5780.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.0,0.415225,1.004152,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3942922666957762,0.0,1.0
