index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,2616.0,2641.0,2642.0,2606.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.0,0.955657,1.009557,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,2629.0,2627.0,2642.0,2602.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.076075,0.999239,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-06,2,20140106,2628.0,2620.0,2639.0,2612.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.0,-0.304414,0.996956,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-07,3,20140107,2630.0,2582.0,2630.0,2569.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-48.0,-1.825095,0.981749,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-08,4,20140108,2587.0,2586.0,2591.0,2564.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.0,-0.038655,0.999613,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-09,5,20140109,2578.0,2578.0,2610.0,2571.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,1.0,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-10,6,20140110,2579.0,2592.0,2593.0,2570.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.0,0.504071,1.005041,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-13,7,20140113,2590.0,2578.0,2607.0,2577.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-12.0,-0.46332,0.995367,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-14,8,20140114,2599.0,2627.0,2629.0,2580.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.0,1.077337,1.010773,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-15,9,20140115,2632.0,2653.0,2654.0,2626.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.0,0.797872,1.007979,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
