index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2018-04-13,0,20180413,425.0,427.0,428.7,423.3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.470588,1.004706,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-16,1,20180416,427.8,424.4,430.8,423.5000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.4,-0.794764,0.992052,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-17,2,20180417,426.3,427.3999999999999,427.4,421.5000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.1,0.258034,1.00258,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-18,3,20180418,422.7,429.6999999999999,431.4,420.6000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,1.656021,1.01656,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-19,4,20180419,435.1000000000001,440.6,441.4999999999999,433.0000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.5,1.264077,1.012641,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-20,5,20180420,441.1000000000001,436.6999999999999,442.8999999999999,435.3000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.4,-0.997506,0.990025,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-23,6,20180423,435.0000000000001,439.6999999999999,440.9999999999999,432.4,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.7,1.08046,1.010805,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-25,7,20180425,446.8000000000001,437.9999999999999,448.8999999999999,436.6000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.8,-1.969561,0.980304,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-26,8,20180426,437.3000000000001,441.3999999999999,444.8999999999999,434.6000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.1,0.937571,1.009376,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-04-27,9,20180427,443.9,444.1999999999999,445.4999999999999,440.8000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,0.067583,1.000676,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-05-02,10,20180502,439.5000000000001,443.4999999999999,444.3999999999999,438.9,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.0,0.910125,1.009101,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-05-03,11,20180503,441.6000000000001,446.9999999999999,447.9999999999999,439.1000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.4,1.222826,1.012228,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-05-04,12,20180504,443.8000000000001,446.8999999999999,448.7999999999999,442.9,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.1,0.698513,1.006985,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-05-07,13,20180507,448.4,458.2999999999999,461.4999999999999,448.4,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.9,2.20785,1.022079,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.8773397184136738,0.0,1.0
2018-05-08,14,20180508,461.0000000000001,459.0999999999999,462.3999999999999,457.0000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.9,-0.412148,0.995879,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.9303270686571654,0.0,1.0
2018-05-09,15,20180509,459.3,465.1999999999999,466.5999999999999,445.4,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.9,1.284563,1.012846,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.8682119093027856,0.0,1.0
2018-05-10,16,20180510,466.9,476.3999999999999,477.8999999999999,466.0000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.5,2.034697,1.020347,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.8855778792294106,0.0,1.0
2018-05-11,17,20180511,474.1,471.1999999999999,474.0999999999999,467.1000000000001,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.9,-0.611685,0.993883,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.9171917546933424,0.0,1.0
2018-05-14,18,20180514,471.3,465.5999999999999,472.4999999999999,462.7,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.7,-1.209421,0.987906,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.9560933121979336,0.0,1.0
