index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,6866.0,6922.0,6934.0,6866.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56.0,0.815613,1.008156,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,6874.0,6822.0,6878.0,6812.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-52.0,-0.756474,0.992435,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-06,2,20140106,6798.0,6696.0,6808.0,6692.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-102.0,-1.500441,0.984996,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-07,3,20140107,6668.0,6612.0,6680.0,6608.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-56.0,-0.839832,0.991602,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-08,4,20140108,6620.0,6608.0,6628.0,6574.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-12.0,-0.181269,0.998187,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-09,5,20140109,6580.0,6636.0,6672.0,6580.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56.0,0.851064,1.008511,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-10,6,20140110,6660.0,6648.0,6692.0,6634.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-12.0,-0.18018,0.998198,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-13,7,20140113,6680.0,6626.0,6688.0,6608.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-54.0,-0.808383,0.991916,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-14,8,20140114,6612.0,6654.0,6658.0,6612.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42.0,0.635209,1.006352,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-15,9,20140115,6662.0,6612.0,6662.0,6592.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-50.0,-0.750525,0.992495,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-16,10,20140116,6648.0,6624.0,6648.0,6616.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-24.0,-0.361011,0.99639,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-17,11,20140117,6642.0,6608.0,6654.0,6594.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-34.0,-0.511894,0.994881,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.5971059430225856,0.0,1.0
2014-01-20,12,20140120,6600.0,6702.0,6716.0,6554.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,102.0,1.545455,1.015455,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6869682149645746,0.0,1.0
2014-01-21,13,20140121,6708.0,6666.0,6708.0,6662.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-42.0,-0.626118,0.993739,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7523386485283765,0.0,1.0
2014-01-22,14,20140122,6660.0,6662.0,6688.0,6630.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.03003,1.0003,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.555278648935961,0.0,1.0
2014-01-23,15,20140123,6642.0,6660.0,6678.0,6638.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.271003,1.00271,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.577517504006631,0.0,1.0
2014-01-24,16,20140124,6650.0,6606.0,6666.0,6606.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-44.0,-0.661654,0.993383,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6330296191224858,0.0,1.0
2014-01-27,17,20140127,6602.0,6536.0,6608.0,6522.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-66.0,-0.999697,0.990003,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6918064920320186,0.0,1.0
2014-01-28,18,20140128,6502.0,6436.0,6518.0,6430.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-66.0,-1.015072,0.989849,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7167405615410976,0.0,1.0
2014-01-29,19,20140129,6468.0,6450.0,6494.0,6440.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-18.0,-0.278293,0.997217,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.630881521051271,0.0,1.0
2014-01-30,20,20140130,6432.0,6390.0,6432.0,6370.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-42.0,-0.652985,0.99347,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.673957244489945,0.0,1.0
2014-02-07,21,20140207,6582.0,6614.0,6630.0,6560.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.0,0.486174,1.004862,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7297027155107014,0.0,1.0
2014-02-10,22,20140210,6610.0,6678.0,6690.0,6604.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.0,1.028744,1.010287,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7718329289728538,0.0,1.0
2014-02-11,23,20140211,6660.0,6618.0,6670.0,6608.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-42.0,-0.630631,0.993694,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.794315894431367,0.0,1.0
2014-02-12,24,20140212,6648.0,6644.0,6660.0,6612.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.060168,0.999398,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7809576357572128,0.0,1.0
2014-02-13,25,20140213,6648.0,6678.0,6706.0,6646.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.0,0.451264,1.004513,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.844977007135869,0.0,1.0
2014-02-14,26,20140214,6726.0,6744.0,6748.0,6722.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.267618,1.002676,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.909754504754582,0.0,1.0
2014-02-17,27,20140217,6712.0,6728.0,6734.0,6686.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.0,0.238379,1.002384,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.8315004601099598,0.0,1.0
2014-02-18,28,20140218,6740.0,6704.0,6772.0,6694.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-36.0,-0.534125,0.994659,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.8859566573773892,0.0,1.0
2014-02-19,29,20140219,6812.0,6798.0,6858.0,6788.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-14.0,-0.20552,0.997945,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.935367224756981,0.0,1.0
2014-02-20,30,20140220,6800.0,6810.0,6812.0,6754.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.0,0.147059,1.001471,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.9082899756929972,0.0,1.0
2014-02-21,31,20140221,6820.0,6772.0,6828.0,6764.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-48.0,-0.703812,0.992962,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.9567403838720039,0.0,1.0
2014-02-24,32,20140224,6808.0,6818.0,6824.0,6760.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.0,0.146886,1.001469,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0160638947481284,0.0,1.0
2014-02-25,33,20140225,6790.244257051469,6776.366385577203,6800.15702239023,6754.558301831928,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-13.877871,-0.20438,0.997956,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.064103617627222,0.0,1.0
2014-02-26,34,20140226,6772.401279441698,6774.38383250945,6776.366385577203,6704.994475138122,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.982553,0.029274,1.000293,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.1163095296628245,0.0,1.0
2014-02-27,35,20140227,6819.982553067751,6816.017446932247,6869.546379761559,6800.157022390231,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.965106,-0.05814,0.999419,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.1593651626542902,0.0,1.0
