index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,4118.0,4213.0,4226.0,4118.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,95.0,2.306945,1.023069,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,4196.0,4213.0,4238.0,4176.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0,0.405148,1.004051,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-06,2,20140106,4214.0,4194.0,4249.0,4181.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-20.0,-0.474608,0.995254,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-07,3,20140107,4181.0,4193.0,4223.0,4173.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.0,0.287013,1.00287,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-08,4,20140108,4174.0,4088.0,4187.0,4080.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-86.0,-2.060374,0.979396,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-09,5,20140109,4099.0,4050.0,4117.0,4011.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-49.0,-1.195414,0.988046,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-10,6,20140110,4064.0,4084.0,4116.0,4026.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,0.492126,1.004921,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-13,7,20140113,4098.0,4144.0,4202.0,4058.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.0,1.122499,1.011225,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-14,8,20140114,4137.0,4178.0,4203.0,4096.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41.0,0.991056,1.009911,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2014-01-15,9,20140115,4166.0,4142.0,4212.0,4126.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-24.0,-0.576092,0.994239,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
