index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,241.1,244.45,244.9,241.1,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.35,1.389465,1.013895,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,242.85,246.4,247.0,242.8,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.55,1.461808,1.014618,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-06,2,20140106,245.4,246.9,248.35,244.65,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,0.611247,1.006112,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-07,3,20140107,246.35,246.95,248.35,246.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6,0.243556,1.002436,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-08,4,20140108,246.2,243.8,246.6,243.6,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.4,-0.974817,0.990252,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-09,5,20140109,244.5,243.75,244.95,242.3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.75,-0.306748,0.996933,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-10,6,20140110,244.35,244.9,245.75,242.85,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.55,0.225087,1.002251,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-13,7,20140113,245.0,247.45,249.2,243.8,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.45,1.0,1.01,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-14,8,20140114,246.95,247.7,248.5,246.3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.75,0.303705,1.003037,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-15,9,20140115,246.85,245.5,248.05,245.05,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.35,-0.546891,0.994531,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
