index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,4302.0,4290.0,4314.0,4282.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-12.0,-0.27894,0.997211,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,4282.0,4278.0,4292.0,4254.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.093414,0.999066,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-06,2,20140106,4270.0,4284.0,4306.0,4262.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.0,0.327869,1.003279,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-07,3,20140107,4272.0,4248.0,4288.0,4248.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-24.0,-0.561798,0.994382,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-08,4,20140108,4246.0,4272.0,4276.0,4206.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.0,0.612341,1.006123,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-09,5,20140109,4266.0,4282.0,4312.0,4264.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.0,0.375059,1.003751,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-10,6,20140110,4280.0,4282.0,4306.0,4258.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.046729,1.000467,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-13,7,20140113,4280.0,4308.0,4318.0,4276.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.0,0.654206,1.006542,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-14,8,20140114,4310.0,4342.0,4346.0,4302.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.0,0.742459,1.007425,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-15,9,20140115,4320.0,4370.0,4378.0,4320.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.0,1.157407,1.011574,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-16,10,20140116,4380.0,4364.0,4440.0,4354.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-16.0,-0.365297,0.996347,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-17,11,20140117,4374.0,4354.0,4384.0,4346.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-20.0,-0.457247,0.995428,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
2014-01-20,12,20140120,4358.0,4354.0,4376.0,4330.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.091785,0.999082,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,3.0,0.0,1.0
