index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,1456.0,1454.0,1465.0,1449.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.137363,0.998626,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,1452.0,1426.0,1452.0,1422.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-26.0,-1.790634,0.982094,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-06,2,20140106,1423.0,1416.0,1433.0,1412.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.491918,0.995081,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-07,3,20140107,1418.0,1411.0,1424.0,1407.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.493653,0.995063,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-08,4,20140108,1408.0,1410.0,1418.0,1406.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.142045,1.00142,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-09,5,20140109,1407.0,1372.0,1422.0,1369.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-35.0,-2.487562,0.975124,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-10,6,20140110,1371.0,1382.0,1387.0,1364.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.0,0.802334,1.008023,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-13,7,20140113,1385.0,1372.0,1399.0,1367.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-13.0,-0.938628,0.990614,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-14,8,20140114,1368.0,1391.0,1394.0,1367.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.0,1.681287,1.016813,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-15,9,20140115,1390.0,1388.0,1394.0,1380.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.143885,0.998561,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
