index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,3565.0,3590.0,3592.0,3564.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.0,0.701262,1.007013,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,3587.0,3540.0,3588.0,3528.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-47.0,-1.310287,0.986897,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-06,2,20140106,3532.0,3515.0,3539.0,3512.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-17.0,-0.481314,0.995187,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-07,3,20140107,3517.0,3465.0,3520.0,3462.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-52.0,-1.478533,0.985215,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-08,4,20140108,3453.0,3469.0,3480.0,3449.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.0,0.463365,1.004634,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-09,5,20140109,3466.0,3456.0,3488.0,3451.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-10.0,-0.288517,0.997115,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-10,6,20140110,3452.0,3492.0,3497.0,3442.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,1.158749,1.011587,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-13,7,20140113,3485.0,3462.0,3494.0,3449.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-23.0,-0.659971,0.9934,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-14,8,20140114,3464.0,3492.0,3496.0,3457.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.0,0.808314,1.008083,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-15,9,20140115,3489.0,3498.0,3507.0,3481.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.0,0.257954,1.00258,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-16,10,20140116,3502.0,3481.0,3509.0,3472.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-21.0,-0.599657,0.994003,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-17,11,20140117,3477.0,3470.0,3477.0,3452.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.201323,0.997987,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-20,12,20140120,3464.0,3451.0,3478.0,3446.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-13.0,-0.375289,0.996247,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-21,13,20140121,3440.0,3410.0,3447.0,3409.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30.0,-0.872093,0.991279,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-22,14,20140122,3403.0,3424.0,3439.0,3403.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.0,0.617103,1.006171,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
