index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2015-03-27,0,20150327,120010.0,119270.0,120010.0,115150.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-740.0,-0.616615,0.993834,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-03-30,1,20150330,119230.0,118080.0,119530.0,115600.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1150.0,-0.964522,0.990355,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-03-31,2,20150331,117650.0,118160.0,119800.0,115960.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,510.0,0.433489,1.004335,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-01,3,20150401,117810.0,117910.0,118880.0,117070.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100.0,0.084882,1.000849,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-02,4,20150402,118250.0,118620.0,119080.0,117980.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,370.0,0.312896,1.003129,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-03,5,20150403,118810.0,118850.0,119470.0,118560.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.033667,1.000337,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-07,6,20150407,118890.0,118860.0,119090.0,118270.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30.0,-0.025233,0.999748,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-08,7,20150408,118710.0,117870.0,118890.0,117150.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-840.0,-0.707607,0.992924,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-09,8,20150409,117870.0,116790.0,117980.0,116500.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1080.0,-0.916264,0.990837,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2015-04-10,9,20150410,116500.0,115990.0,116980.0,115320.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-510.0,-0.437768,0.995622,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
