,date,PRICE
0,2014-01-02,6410.0
1,2014-01-03,6380.0
2,2014-01-06,6375.0
3,2014-01-07,6385.0
4,2014-01-08,6320.0
5,2014-01-09,6325.0
6,2014-01-10,6380.0
7,2014-01-13,6380.0
8,2014-01-14,6375.0
9,2014-01-15,6420.0
10,2014-01-16,6405.0
11,2014-01-17,6350.0
12,2014-01-20,6340.0
13,2014-01-21,6375.0
14,2014-01-22,6360.0
15,2014-01-23,6330.0
16,2014-01-24,6345.0
17,2014-01-27,6350.0
18,2014-01-28,6335.0
19,2014-01-29,6325.0
20,2014-01-30,6350.0
21,2014-01-31,6350.0
22,2014-02-03,6350.0
23,2014-02-04,6350.0
24,2014-02-05,6350.0
25,2014-02-06,6350.0
26,2014-02-07,6230.0
27,2014-02-10,6240.0
28,2014-02-11,6265.0
29,2014-02-12,6225.0
30,2014-02-13,6255.0
31,2014-02-14,6240.0
32,2014-02-17,6215.0
33,2014-02-18,6255.0
34,2014-02-19,6245.0
35,2014-02-20,6235.0
36,2014-02-21,6220.0
37,2014-02-24,6215.0
38,2014-02-25,6175.0
39,2014-02-26,6185.0
40,2014-02-27,6165.0
41,2014-02-28,6175.0
42,2014-03-03,6140.0
43,2014-03-04,6125.0
44,2014-03-05,6085.0
45,2014-03-06,6045.0
46,2014-03-07,6015.0
47,2014-03-10,5900.0
48,2014-03-11,5895.0
49,2014-03-12,5875.0
50,2014-03-13,5925.0
51,2014-03-14,5920.0
52,2014-03-17,5890.0
53,2014-03-18,5885.0
54,2014-03-19,5890.0
55,2014-03-20,5830.0
56,2014-03-21,5825.0
57,2014-03-24,5855.0
58,2014-03-25,5955.0
59,2014-03-26,5990.0
60,2014-03-27,6075.0
61,2014-03-28,6170.0
62,2014-03-31,6130.0
63,2014-04-01,6115.0
64,2014-04-02,6150.0
65,2014-04-03,6105.0
66,2014-04-04,6125.0
67,2014-04-07,6125.0
68,2014-04-08,6120.0
69,2014-04-09,6170.0
70,2014-04-10,6225.0
71,2014-04-11,6200.0
72,2014-04-14,6265.0
73,2014-04-15,6265.0
74,2014-04-16,6270.0
75,2014-04-17,6255.0
76,2014-04-18,6255.0
77,2014-04-21,6150.0
78,2014-04-22,6125.0
79,2014-04-23,6130.0
80,2014-04-24,6130.0
81,2014-04-25,6165.0
82,2014-04-28,6140.0
83,2014-04-29,6080.0
84,2014-04-30,6075.0
85,2014-05-01,6075.0
86,2014-05-02,6075.0
87,2014-05-05,6085.0
88,2014-05-06,6120.0
89,2014-05-07,6090.0
90,2014-05-08,6095.0
91,2014-05-09,6050.0
92,2014-05-12,6065.0
93,2014-05-13,6060.0
94,2014-05-14,6095.0
95,2014-05-15,6135.0
96,2014-05-16,6100.0
97,2014-05-19,6080.0
98,2014-05-20,6060.0
99,2014-05-21,6030.0
100,2014-05-22,6080.0
101,2014-05-23,6110.0
102,2014-05-26,6125.0
103,2014-05-27,6070.0
104,2014-05-28,6120.0
105,2014-05-29,6150.0
106,2014-05-30,6135.0
107,2014-06-02,6135.0
108,2014-06-03,6115.0
109,2014-06-04,6075.0
110,2014-06-05,6070.0
111,2014-06-06,6100.0
112,2014-06-09,6040.0
113,2014-06-10,6005.0
114,2014-06-11,6025.0
115,2014-06-12,6000.0
116,2014-06-13,6015.0
117,2014-06-16,6100.0
118,2014-06-17,6100.0
119,2014-06-18,6070.0
120,2014-06-19,6055.0
121,2014-06-20,6065.0
122,2014-06-23,6110.0
123,2014-06-24,6100.0
124,2014-06-25,6100.0
125,2014-06-26,6120.0
126,2014-06-27,6130.0
127,2014-06-30,6095.0
128,2014-07-01,6090.0
129,2014-07-02,6085.0
130,2014-07-03,6070.0
131,2014-07-04,6060.0
132,2014-07-07,6055.0
133,2014-07-08,6065.0
134,2014-07-09,6065.0
135,2014-07-10,6045.0
136,2014-07-11,6050.0
137,2014-07-14,6070.0
138,2014-07-15,6100.0
139,2014-07-16,6050.0
140,2014-07-17,6045.0
141,2014-07-18,6015.0
142,2014-07-21,5985.0
143,2014-07-22,6025.0
144,2014-07-23,6050.0
145,2014-07-24,6015.0
146,2014-07-25,6020.0
147,2014-07-28,6025.0
148,2014-07-29,6040.0
149,2014-07-30,6060.0
150,2014-07-31,6065.0
151,2014-08-01,6060.0
152,2014-08-04,6070.0
153,2014-08-05,5980.0
154,2014-08-06,6035.0
155,2014-08-07,6000.0
156,2014-08-08,5990.0
157,2014-08-11,5970.0
158,2014-08-12,5970.0
159,2014-08-13,5930.0
160,2014-08-14,5955.0
161,2014-08-15,5900.0
162,2014-08-18,5910.0
163,2014-08-19,5900.0
164,2014-08-20,5925.0
165,2014-08-21,5920.0
166,2014-08-22,5935.0
167,2014-08-25,5920.0
168,2014-08-26,5925.0
169,2014-08-27,5925.0
170,2014-08-28,5940.0
171,2014-08-29,5915.0
172,2014-09-01,5975.0
173,2014-09-02,5990.0
174,2014-09-03,6030.0
175,2014-09-04,6055.0
176,2014-09-05,6015.0
177,2014-09-08,6015.0
178,2014-09-09,6035.0
179,2014-09-10,6005.0
180,2014-09-11,5935.0
181,2014-09-12,5940.0
182,2014-09-15,5935.0
183,2014-09-16,5955.0
184,2014-09-17,5890.0
185,2014-09-18,5885.0
186,2014-09-19,5865.0
187,2014-09-22,5815.0
188,2014-09-23,5750.0
189,2014-09-24,5760.0
190,2014-09-25,5775.0
191,2014-09-26,5775.0
192,2014-09-29,5805.0
193,2014-09-30,5840.0
194,2014-10-01,5840.0
195,2014-10-02,5840.0
196,2014-10-03,5840.0
197,2014-10-06,5840.0
198,2014-10-07,5840.0
199,2014-10-08,5740.0
200,2014-10-09,5730.0
201,2014-10-10,5690.0
202,2014-10-13,5645.0
203,2014-10-14,5680.0
204,2014-10-15,5695.0
205,2014-10-16,5670.0
206,2014-10-17,5690.0
207,2014-10-20,5770.0
208,2014-10-21,5760.0
209,2014-10-22,5625.0
210,2014-10-23,5510.0
211,2014-10-24,5695.0
212,2014-10-27,5700.0
213,2014-10-28,5725.0
214,2014-10-29,5750.0
215,2014-10-30,5805.0
216,2014-10-31,5785.0
217,2014-11-03,5580.0
218,2014-11-04,5540.0
219,2014-11-05,5510.0
220,2014-11-06,5545.0
221,2014-11-07,5550.0
222,2014-11-10,5560.0
