DATETIME,price
2020-08-06,0.1433
2020-08-07,0.13995
2020-08-08,0.14483
2020-08-09,0.14503
2020-08-10,0.14379
2020-08-11,0.13575
2020-08-13,0.13985
2020-08-14,0.13903
2020-08-15,0.1375
2020-08-16,0.1382
2020-08-17,0.14342
2020-08-18,0.13708
2020-08-19,0.13365
2020-08-20,0.13288
2020-08-21,0.12339
2020-08-22,0.12384
2020-08-23,0.12237
2020-08-24,0.12455
2020-08-25,0.11141
2020-08-26,0.11672
2020-08-27,0.1063
2020-08-28,0.10935
2020-08-29,0.11491
2020-08-30,0.11687
2020-08-31,0.12271
2020-09-01,0.12532
2020-09-02,0.11575
2020-09-03,0.10246
2020-09-04,0.1031
2020-09-05,0.08817
2020-09-06,0.092882
2020-09-07,0.0932
2020-09-08,0.089554
2020-09-09,0.09428
2020-09-10,0.097166
2020-09-11,0.097529
2020-09-12,0.09696
2020-09-13,0.09441
2020-09-14,0.09627
2020-09-15,0.09408
2020-09-16,0.09169
2020-09-17,0.094322
2020-09-18,0.090685
2020-09-19,0.09138
2020-09-20,0.08936
2020-09-21,0.080598
2020-09-22,0.082088
2020-09-23,0.076947
2020-09-24,0.082876
2020-09-25,0.095541
2020-09-26,0.095709
2020-09-27,0.10132
2020-09-28,0.10201
2020-09-29,0.10036
2020-09-30,0.10085
2020-10-01,0.097182
2020-10-02,0.09278
2020-10-03,0.093574
2020-10-04,0.09742
2020-10-05,0.096892
2020-10-06,0.091855
2020-10-07,0.093366
2020-10-08,0.095548
2020-10-09,0.10197
2020-10-10,0.1059
2020-10-11,0.10588
2020-10-12,0.10893
2020-10-13,0.10939
2020-10-14,0.10714
2020-10-15,0.10644
2020-10-16,0.10409
2020-10-17,0.10585
2020-10-18,0.10752
2020-10-19,0.10934
2020-10-20,0.10248
2020-10-21,0.1056
2020-10-22,0.11095
2020-10-23,0.10792
2020-10-24,0.10794
2020-10-25,0.10615
2020-10-26,0.1032
2020-10-27,0.10268
