DATETIME,price
2019-03-11,3864.1
2019-03-12,3881.3
2019-03-13,3861.9
2019-03-14,3870.8
2019-03-15,3927.9
2019-03-16,3994.0
2019-03-17,3986.5
2019-03-18,3991.0
2019-03-19,4015.6
2019-03-20,4034.3
2019-03-21,3983.7
2019-03-22,3987.7
2019-03-23,3998.1
2019-03-24,3978.1
2019-03-25,3936.4
2019-03-26,3940.2
2019-03-27,4027.1
2019-03-28,4026.3
2019-03-29,4091.7
2019-03-30,4080.2
2019-03-31,4102.4
2019-04-01,4141.8
2019-04-02,4867.5
2019-04-03,4853.7
2019-04-04,4899.1
2019-04-05,4981.0
2019-04-06,5032.4
2019-04-07,5182.8
2019-04-08,5222.0
2019-04-09,5157.7
2019-04-10,5263.9
2019-04-11,4971.6
2019-04-12,5062.3
2019-04-13,5050.0
2019-04-14,5125.0
2019-04-15,5030.1
2019-04-16,5175.2
2019-04-17,5208.3
2019-04-18,5252.8
2019-04-19,5253.9
2019-04-20,5240.2
2019-04-21,5244.9
2019-04-22,5374.6
2019-04-23,5530.9
2019-04-24,5403.4
2019-04-25,5187.0
2019-04-26,5289.6
2019-04-27,5329.2
2019-04-28,5305.6
2019-04-29,5226.6
2019-04-30,5325.3
2019-05-01,5370.8
2019-05-02,5489.5
2019-05-03,5770.3
2019-05-04,5831.3
2019-05-05,5792.3
2019-05-06,5772.2
2019-05-07,5950.3
2019-05-08,5983.6
2019-05-09,6190.8
2019-05-10,6403.9
2019-05-11,7252.0
2019-05-12,6882.0
2019-05-13,7712.1
2019-05-14,7960.2
2019-05-15,8131.4
2019-05-16,7848.8
2019-05-17,7279.7
2019-05-18,7250.0
2019-05-19,8212.8
2019-05-20,7894.7
2019-05-21,7950.0
2019-05-22,7652.1
2019-05-23,7867.2
2019-05-24,7940.6
2019-05-25,8033.4
2019-05-26,8645.9
2019-05-27,8800.0
2019-05-28,8691.3
2019-05-29,8670.5
2019-05-30,8244.8
2019-05-31,8530.3
2019-06-01,8578.4
2019-06-02,8746.3
2019-06-03,8402.0
2019-06-04,7644.6
2019-06-05,7800.0
2019-06-06,7734.8
2019-06-07,8023.2
2019-06-08,7939.3
2019-06-09,7553.1
2019-06-10,7942.7
2019-06-11,7888.4
2019-06-12,8118.6
2019-06-13,8261.0
2019-06-14,8621.7
2019-06-15,8824.6
2019-06-16,9048.6
2019-06-17,9354.9
2019-06-18,9002.0
2019-06-19,9300.0
2019-06-20,9569.1
2019-06-21,9939.5
2019-06-22,10676.0
2019-06-23,10908.0
2019-06-24,11045.0
2019-06-25,11757.0
2019-06-26,12848.0
2019-06-27,11468.0
2019-06-28,12466.0
2019-06-29,12010.0
2019-06-30,11034.0
2019-07-01,10644.0
2019-07-02,10759.0
2019-07-15,11058.0
2019-07-16,9442.2
2019-07-18,9474.1
2019-07-19,10516.0
2019-07-20,10952.0
2019-07-21,10545.0
2019-07-22,10305.0
2019-07-23,9900.8
2019-07-24,9765.0
2019-07-25,9910.0
2019-07-26,9782.8
2019-07-27,9458.6
2019-07-28,9500.0
2019-07-29,9500.0
2019-07-30,9593.7
2019-07-31,10010.0
2019-08-01,10397.0
2019-08-02,10502.0
2019-08-03,10815.0
2019-08-04,10937.0
2019-08-05,11780.0
2019-08-06,11365.0
2019-08-07,12012.0
2019-08-08,11942.0
2019-08-09,11862.0
2019-08-10,11341.0
2019-08-11,11534.0
2019-08-12,11411.0
2019-08-13,10926.0
2019-08-14,10169.0
2019-08-15,10308.0
2019-08-16,10381.0
2019-08-17,10215.0
2019-08-18,10352.0
2019-08-19,10884.0
2019-08-20,10785.0
2019-08-21,10044.0
2019-08-22,10132.0
2019-08-23,10381.0
2019-08-24,10139.0
2019-08-25,10101.0
2019-08-26,10350.0
2019-08-27,10175.0
2019-08-28,9751.2
2019-08-29,9462.7
2019-08-30,9587.5
2019-08-31,9606.4
2019-09-01,9756.0
2019-09-02,10352.0
2019-09-03,10542.0
2019-09-04,10559.0
2019-09-05,10575.0
2019-09-06,10320.0
2019-09-07,10467.0
2019-09-08,10363.0
2019-09-09,10332.0
2019-09-10,10071.0
2019-09-11,10141.0
2019-09-12,10374.0
2019-09-13,10313.0
2019-09-14,10341.0
2019-09-15,10296.0
2019-09-16,10260.0
2019-09-17,10206.0
2019-09-18,10170.0
2019-09-19,10230.0
2019-09-20,10177.0
2019-09-21,9966.4
2019-09-22,10029.0
2019-09-23,9731.0
2019-09-24,8660.5
2019-09-25,8384.6
2019-09-26,8089.4
2019-09-27,8160.4
2019-09-28,8174.1
2019-09-29,8050.3
2019-09-30,8244.1
2019-10-01,8309.3
2019-10-02,8336.5
2019-10-03,8257.1
2019-10-04,8152.5
2019-10-05,8109.0
2019-10-06,7831.0
2019-10-07,8254.3
2019-10-08,8175.1
2019-10-09,8550.8
2019-10-10,8547.9
2019-10-11,8320.6
2019-10-12,8320.2
2019-10-13,8300.0
2019-10-14,8322.3
2019-10-15,8150.6
2019-10-16,8001.9
2019-10-17,8067.5
2019-10-18,7963.4
2019-10-19,7935.8
2019-10-20,8187.8
2019-10-21,8191.2
2019-10-22,8030.1
2019-10-23,7445.0
2019-10-24,7453.4
2019-10-25,8654.0
2019-10-26,9178.0
2019-10-27,9532.7
2019-10-28,9447.0
2019-10-29,9423.8
2019-10-30,9209.9
2019-10-31,9126.2
2019-11-01,9210.9
2019-11-02,9292.8
2019-11-03,9200.8
2019-11-04,9364.6
2019-11-05,9327.2
2019-11-06,9334.9
2019-11-07,9186.1
2019-11-08,8759.9
2019-11-09,8798.3
2019-11-10,9040.6
2019-11-11,8727.1
2019-11-12,8787.7
2019-11-13,8796.3
2019-11-14,8653.0
2019-11-15,8467.6
2019-11-16,8491.8
2019-11-17,8470.3
2019-11-18,8197.7
2019-11-19,8109.3
2019-11-20,8084.1
2019-11-21,7628.6
2019-11-22,7196.1
2019-11-23,7271.7
2019-11-24,6865.0
2019-11-25,7124.7
2019-11-26,7144.5
2019-11-27,7526.9
2019-11-28,7436.6
2019-11-29,7736.8
2019-11-30,7503.3
2019-12-01,7402.5
2019-12-02,7319.4
2019-12-03,7267.0
2019-12-04,7205.7
2019-12-05,7315.0
2019-12-06,7516.6
2019-12-07,7495.2
2019-12-08,7523.0
2019-12-09,7335.8
2019-12-10,7242.9
2019-12-11,7190.0
2019-12-12,7212.4
2019-12-13,7252.3
2019-12-14,7053.8
2019-12-15,7096.6
2019-12-16,6905.9
2019-12-17,6619.7
2019-12-18,7281.1
2019-12-19,7153.7
2019-12-20,7186.4
2019-12-21,7130.8
2019-12-22,7583.6
2019-12-23,7317.8
2019-12-24,7253.9
2019-12-25,7213.8
2019-12-26,7209.7
2019-12-27,7250.6
2019-12-28,7322.0
2019-12-29,7343.8
2019-12-30,7229.3
2019-12-31,7190.1
2020-01-01,7197.4
2020-01-02,6962.1
2020-01-03,7327.0
2020-01-04,7370.4
2020-01-05,7366.2
2020-01-06,7842.0
2020-01-07,8285.3
2020-01-08,7987.3
2020-01-09,7831.4
2020-01-10,8166.2
2020-01-11,8011.4
2020-01-12,8173.4
2020-01-13,8133.6
2020-01-14,8857.8
2020-01-15,8807.2
2020-01-16,8737.0
2020-01-17,8943.2
2020-01-18,8910.4
2020-01-19,8704.8
2020-01-20,8630.6
2020-01-21,8751.5
2020-01-22,8663.9
2020-01-23,8394.6
2020-01-24,8424.6
2020-01-25,8331.2
2020-01-26,8650.6
2020-01-27,8950.9
2020-01-28,9396.6
2020-01-29,9279.9
2020-01-30,9517.8
2020-01-31,9365.4
2020-02-01,9364.0
2020-02-02,9362.7
2020-02-03,9323.2
2020-02-04,9201.9
2020-02-05,9572.0
2020-02-06,9781.4
2020-02-07,9808.2
2020-02-08,9916.0
2020-02-09,10163.0
2020-02-10,9829.8
2020-02-11,10289.0
2020-02-12,10350.0
2020-02-13,10184.0
2020-02-14,10358.0
2020-02-15,9901.9
2020-02-16,9908.0
2020-02-17,9656.8
2020-02-18,10136.0
2020-02-19,9604.7
2020-02-20,9593.3
2020-02-21,9690.9
2020-02-22,9660.7
2020-02-23,9954.7
2020-02-24,9627.9
2020-02-25,9363.2
2020-02-26,8694.2
2020-02-27,8821.5
2020-02-28,8742.3
2020-02-29,8591.1
2020-03-01,8544.4
2020-03-02,8850.0
2020-03-03,8750.0
2020-03-04,8791.5
2020-03-05,9045.1
2020-03-06,9115.0
2020-03-07,8864.7
2020-03-08,8067.5
2020-03-09,7858.7
2020-03-10,7884.0
2020-03-11,7905.3
2020-03-12,5522.8
2020-03-13,5640.0
2020-03-14,5105.0
2020-03-15,5411.5
2020-03-16,4945.1
2020-03-17,5404.0
2020-03-18,5342.0
2020-03-19,6203.7
2020-03-20,6122.2
2020-03-21,6178.4
2020-03-22,5840.5
2020-03-23,6473.7
2020-03-24,6752.8
2020-03-25,6663.6
2020-03-26,6712.8
2020-03-27,6640.7
2020-03-28,6205.1
2020-03-29,5924.8
2020-03-30,6447.4
2020-03-31,6421.2
2020-04-01,6521.1
2020-04-02,6803.9
2020-04-03,6772.1
2020-04-04,6854.1
2020-04-05,6797.9
2020-04-06,7257.8
2020-04-07,7178.1
2020-04-08,7348.5
2020-04-09,7297.1
2020-04-10,6861.7
2020-04-11,6849.1
2020-04-12,7011.0
2020-04-13,6856.9
2020-04-14,6868.0
2020-04-15,6632.1
2020-04-16,7142.6
2020-04-17,7059.2
2020-04-18,7263.7
2020-04-19,7185.4
2020-04-20,6854.9
2020-04-21,6895.6
2020-04-22,7115.2
2020-04-23,7521.5
2020-04-24,7496.0
2020-04-25,7534.1
2020-04-26,7629.6
2020-04-27,7753.8
2020-04-28,7748.0
2020-04-29,8773.8
2020-04-30,8690.3
2020-05-01,8850.5
2020-05-02,8965.4
2020-05-03,8892.9
2020-05-04,8889.3
2020-05-05,8985.6
2020-05-06,9338.1
2020-05-07,9875.1
2020-05-08,9903.5
2020-05-09,9573.5
2020-05-10,8763.0
2020-05-11,8582.9
2020-05-12,8823.6
2020-05-13,9341.3
2020-05-14,9761.6
2020-05-15,9383.3
2020-05-16,9421.7
2020-05-17,9700.0
2020-05-18,9728.6
2020-05-19,9737.3
2020-05-20,9522.3
2020-05-21,9105.1
2020-05-22,9197.7
2020-05-23,9224.2
2020-05-24,9017.8
2020-05-25,8929.5
2020-05-26,8834.8
2020-05-27,9102.5
2020-05-28,9515.3
2020-05-29,9426.8
2020-05-30,9702.7
2020-05-31,9436.7
2020-06-01,10084.0
2020-06-02,9483.1
2020-06-03,9629.4
2020-06-04,9805.1
2020-06-05,9680.5
2020-06-06,9640.6
2020-06-07,9762.3
2020-06-08,9701.1
2020-06-09,9763.7
2020-06-10,9889.6
2020-06-11,9323.3
2020-06-12,9459.0
2020-06-13,9435.5
2020-06-14,9373.1
2020-06-15,9435.2
2020-06-16,9512.9
2020-06-17,9436.5
2020-06-18,9375.9
2020-06-19,9304.7
2020-06-20,9357.1
2020-06-21,9310.5
2020-06-22,9665.8
2020-06-23,9610.0
2020-06-24,9299.6
2020-06-25,9254.7
2020-06-26,9152.1
2020-06-27,8979.4
2020-06-28,9101.8
2020-06-29,9186.4
2020-06-30,9150.6
2020-07-01,9244.4
2020-07-02,9100.0
2020-07-03,9076.4
2020-07-04,9125.0
2020-07-05,9076.2
2020-07-06,9294.3
2020-07-07,9254.3
2020-07-08,9434.0
2020-07-09,9234.0
2020-07-10,9225.6
2020-07-11,9218.4
2020-07-12,9286.3
2020-07-13,9238.1
2020-07-14,9254.9
2020-07-15,9199.4
2020-07-16,9140.1
2020-07-17,9165.1
2020-07-18,9173.6
2020-07-19,9190.9
2020-07-20,9169.5
2020-07-21,9374.5
2020-07-22,9521.2
2020-07-23,9586.0
2020-07-24,9538.1
2020-07-25,9715.0
2020-07-26,9918.1
2020-07-27,11171.0
2020-07-28,10940.0
2020-07-29,11209.0
2020-07-30,11162.0
2020-07-31,11303.0
2020-08-01,11774.0
2020-08-02,11128.0
2020-08-03,11214.0
2020-08-04,11204.0
2020-08-05,11654.0
2020-08-06,11729.0
2020-08-07,11624.0
2020-08-08,11744.0
2020-08-09,11675.0
2020-08-10,11803.0
2020-08-11,11385.0
2020-08-13,11749.0
2020-08-14,11762.0
2020-08-15,11828.0
2020-08-16,11903.0
2020-08-17,12391.0
2020-08-18,12040.0
2020-08-19,11717.0
2020-08-20,11838.0
2020-08-21,11566.0
2020-08-22,11666.0
2020-08-23,11662.0
2020-08-24,11742.0
2020-08-25,11359.0
2020-08-26,11461.0
2020-08-27,11271.0
2020-08-28,11481.0
2020-08-29,11492.0
2020-08-30,11655.0
2020-08-31,11661.0
2020-09-01,11977.0
2020-09-02,11415.0
2020-09-03,10586.0
2020-09-04,10456.0
2020-09-05,10064.0
2020-09-06,10202.0
2020-09-07,10360.0
2020-09-08,10123.0
2020-09-09,10281.0
2020-09-10,10324.0
2020-09-11,10371.0
2020-09-12,10428.0
2020-09-13,10305.0
2020-09-14,10650.0
2020-09-15,10780.0
2020-09-16,11025.0
2020-09-17,10918.0
2020-09-18,10916.0
2020-09-19,11041.0
2020-09-20,10876.0
2020-09-21,10484.0
2020-09-22,10505.0
2020-09-23,10280.0
2020-09-24,10724.0
2020-09-25,10669.0
2020-09-26,10740.0
2020-09-27,10736.0
2020-09-28,10865.0
2020-09-29,10774.0
2020-09-30,10747.0
2020-10-01,10601.0
2020-10-02,10556.0
2020-10-03,10558.0
2020-10-04,10650.0
2020-10-05,10741.0
2020-10-06,10593.0
2020-10-07,10648.0
2020-10-08,10893.0
2020-10-09,11078.0
2020-10-10,11353.0
2020-10-11,11349.0
2020-10-12,11660.0
2020-10-13,11435.0
2020-10-14,11405.0
2020-10-15,11484.0
2020-10-16,11342.0
2020-10-17,11346.0
2020-10-18,11469.0
2020-10-19,11741.0
2020-10-20,11945.0
2020-10-21,12826.0
2020-10-22,12999.0
2020-10-23,12939.0
2020-10-24,13080.0
2020-10-25,13012.0
2020-10-26,13041.0
2020-10-27,13765.0
2020-10-28,13251.0
2020-10-29,13436.0
2020-10-30,13583.0
2020-10-31,13801.0
2020-11-01,13664.0
2020-11-02,13506.0
2020-11-03,13987.0
2020-11-04,14183.0
2020-11-05,15481.0
2020-11-06,15592.0
2020-11-07,14788.0
2020-11-08,15481.0
2020-11-09,15312.0
2020-11-10,15278.0
2020-11-11,15628.0
2020-11-12,16287.0
2020-11-13,16291.0
2020-11-14,16084.0
2020-11-15,15937.0
2020-11-16,16737.0
2020-11-17,17669.0
2020-11-18,17742.0
2020-11-19,17872.0
2020-11-20,18646.0
2020-11-21,18674.0
2020-11-22,18462.0
2020-11-23,18320.0
2020-11-24,19182.0
2020-11-25,18648.0
2020-11-26,17131.0
2020-11-27,17104.0
2020-11-28,17696.0
2020-11-29,18294.0
2020-11-30,19548.0
2020-12-01,18560.0
2020-12-02,19265.0
2020-12-03,19417.0
2020-12-04,18560.0
2020-12-05,19261.0
2020-12-06,19414.0
2020-12-07,19157.0
2020-12-08,18267.0
2020-12-09,18517.0
2020-12-10,18247.0
2020-12-11,18132.0
2020-12-12,18867.0
2020-12-13,19142.0
2020-12-14,19271.0
2020-12-15,19436.0
2020-12-16,21388.0
2020-12-17,22773.0
2020-12-18,23071.0
2020-12-19,23748.0
2020-12-20,23414.0
2020-12-21,22773.0
2020-12-22,23758.0
2020-12-23,23085.0
2020-12-24,23814.0
2020-12-25,24595.0
2020-12-26,26579.0
2020-12-27,26103.0
2020-12-28,27000.0
2020-12-29,27545.0
2020-12-30,28996.0
2020-12-31,28999.0
2021-01-01,29238.0
2021-01-02,32203.0
2021-01-03,33000.0
2021-01-04,32227.0
2021-01-05,33833.0
2021-01-06,36738.0
2021-01-07,39489.0
2021-01-08,40902.0
2021-01-09,40317.0
2021-01-10,37812.0
2021-01-11,35152.0
2021-01-12,33648.0
2021-01-13,37834.0
2021-01-14,39355.0
2021-01-15,37116.0
2021-01-16,35780.0
2021-01-17,35709.0
2021-01-18,36920.0
2021-01-19,35824.0
2021-01-20,35427.0
2021-01-21,30487.0
2021-01-22,32652.0
2021-01-23,31745.0
2021-01-24,32253.0
2021-01-25,32013.0
2021-01-26,32367.0
2021-01-27,30293.0
2021-01-28,33581.0
2021-01-29,34438.0
2021-01-30,34050.0
2021-01-31,32888.0
2021-02-01,33556.0
2021-02-02,35603.0
2021-02-03,37839.0
2021-02-04,36994.0
2021-02-05,38410.0
2021-02-06,39059.0
2021-02-07,38780.0
2021-02-08,46867.0
2021-02-09,46386.0
2021-02-10,44715.0
2021-02-11,48228.0
2021-02-12,47450.0
2021-02-13,47205.0
2021-02-14,48665.0
2021-02-15,47718.0
2021-02-16,49381.0
2021-02-17,52350.0
2021-02-18,51628.0
2021-02-19,56240.0
2021-02-20,55779.0
2021-02-21,57420.0
2021-02-22,53744.0
2021-02-23,48716.0
2021-02-24,49899.0
2021-02-25,46937.0
2021-02-26,46525.0
2021-02-27,45706.0
2021-02-28,45086.0
2021-03-01,49748.0
2021-03-02,48292.0
2021-03-03,50224.0
2021-03-04,47893.0
2021-03-05,48962.0
2021-03-06,49059.0
2021-03-08,52454.0
2021-03-09,54876.0
2021-03-10,55628.0
2021-03-11,58037.0
2021-03-12,56794.0
2021-03-13,61292.0
2021-03-14,58971.0
2021-03-15,56209.0
2021-03-16,56281.0
2021-03-17,58473.0
2021-03-18,57802.0
2021-03-19,58426.0
2021-03-20,58353.0
2021-03-21,57729.0
2021-03-22,54766.0
2021-03-23,54484.0
2021-03-24,52502.0
2021-03-25,51887.0
2021-03-26,54406.0
2021-03-27,56372.0
2021-03-28,55644.0
2021-03-29,57700.0
2021-03-30,58638.0
2021-03-31,58699.0
2021-04-01,59028.0
2021-04-02,58850.0
2021-04-03,57385.0
2021-04-04,58165.0
2021-04-05,58795.0
2021-04-06,57861.0
2021-04-07,56427.0
2021-04-08,57925.0
2021-04-09,58057.0
2021-04-10,59153.0
2021-04-11,60024.0
2021-04-12,60025.0
2021-04-13,63289.0
2021-04-14,62850.0
2021-04-15,63275.0
2021-04-16,61508.0
2021-04-17,60719.0
2021-04-18,56487.0
2021-04-19,55883.0
2021-04-20,56490.0
2021-04-21,54177.0
2021-04-22,51722.0
2021-04-23,50530.0
2021-04-24,50291.0
2021-04-25,48662.0
2021-04-26,53493.0
2021-04-27,54819.0
2021-04-28,54480.0
2021-04-29,53460.0
2021-04-30,57254.0
2021-05-01,57607.0
2021-05-02,56346.0
2021-05-03,57224.0
2021-05-04,54014.0
2021-05-05,57161.0
2021-05-06,56418.0
2021-05-07,57122.0
2021-05-08,58583.0
2021-05-09,58058.0
2021-05-10,56182.0
2021-05-11,56562.0
2021-05-12,52676.0
2021-05-13,48770.0
2021-05-14,49796.0
2021-05-15,47805.0
2021-05-16,45497.0
2021-05-17,43154.0
2021-05-18,42613.0
2021-05-19,38926.0
2021-05-20,41234.0
2021-05-21,36347.0
2021-05-22,37687.0
2021-05-23,33956.0
2021-05-24,38474.0
2021-05-25,38311.0
2021-05-26,38860.0
2021-05-27,38627.0
2021-05-28,35083.0
2021-05-29,34220.0
2021-05-30,35720.0
2021-05-31,36907.0
2021-06-01,36553.0
2021-06-02,37483.0
2021-06-03,38838.0
2021-06-04,37170.0
2021-06-05,35196.0
2021-06-06,35554.0
2021-06-07,34099.0
2021-06-08,33447.0
2021-06-09,36998.0
2021-06-10,36874.0
2021-06-11,37367.0
2021-06-12,35773.0
2021-06-13,38755.0
2021-06-14,40177.0
2021-06-15,40130.0
2021-06-16,38497.0
2021-06-17,37952.0
2021-06-18,35573.0
2021-06-19,35497.0
2021-06-20,35641.0
2021-06-21,31517.0
2021-06-22,32738.0
2021-06-23,33430.0
2021-06-24,34686.0
2021-06-25,31436.0
2021-06-26,31741.0
2021-06-27,34328.0
2021-06-28,34399.0
2021-06-29,35912.0
2021-06-30,35000.0
2021-07-01,33485.0
2021-07-02,33657.0
2021-07-03,34510.0
2021-07-04,35274.0
2021-07-05,34007.0
2021-07-06,34021.0
2021-07-07,34123.0
2021-07-08,32602.0
2021-07-09,34022.0
2021-07-10,33615.0
2021-07-11,34387.0
2021-07-12,33014.0
2021-07-13,32560.0
2021-07-14,32978.0
2021-07-15,31819.0
2021-07-16,31599.0
2021-07-17,31610.0
2021-07-18,31522.0
2021-07-19,30882.0
2021-07-20,29587.0
2021-07-21,32058.0
2021-07-22,32146.0
2021-07-23,33114.0
2021-07-24,34023.0
2021-07-25,34678.0
2021-07-26,37634.0
2021-07-27,39111.0
2021-07-28,39634.0
2021-07-29,39809.0
2021-07-30,41426.0
2021-07-31,41823.0
2021-08-01,40273.0
2021-08-02,39435.0
2021-08-03,38424.0
2021-08-04,39668.0
2021-08-05,40981.0
2021-08-06,42696.0
2021-08-07,44106.0
2021-08-08,44290.0
2021-08-09,46182.0
2021-08-10,45489.0
2021-08-11,45874.0
2021-08-12,43983.0
