DATETIME,price
2019-03-11,133.07
2019-03-12,133.06
2019-03-13,131.33
2019-03-14,131.38
2019-03-15,135.83
2019-03-16,140.97
2019-03-17,139.4
2019-03-18,137.83
2019-03-19,137.83
2019-03-20,139.43
2019-03-21,135.65
2019-03-22,136.35
2019-03-23,136.77
2019-03-24,136.03
2019-03-25,133.51
2019-03-26,133.25
2019-03-27,139.12
2019-03-28,138.15
2019-03-29,141.46
2019-03-30,141.88
2019-03-31,141.36
2019-04-01,139.85
2019-04-02,163.98
2019-04-03,156.63
2019-04-04,157.4
2019-04-05,165.04
2019-04-06,165.29
2019-04-07,172.41
2019-04-08,178.39
2019-04-09,175.19
2019-04-10,176.9
2019-04-11,164.17
2019-04-12,163.5
2019-04-13,162.25
2019-04-14,167.15
2019-04-15,160.9
2019-04-16,166.09
2019-04-17,165.24
2019-04-18,172.33
2019-04-19,172.05
2019-04-20,171.85
2019-04-21,168.2
2019-04-22,171.35
2019-04-23,170.75
2019-04-24,164.3
2019-04-25,154.73
2019-04-26,157.32
2019-04-27,159.18
2019-04-28,158.43
2019-04-29,154.18
2019-04-30,161.57
2019-05-01,158.84
2019-05-02,162.86
2019-05-03,167.88
2019-05-04,163.9
2019-05-05,164.58
2019-05-06,175.24
2019-05-07,173.21
2019-05-08,170.03
2019-05-09,171.33
2019-05-10,173.52
2019-05-11,204.33
2019-05-12,186.05
2019-05-13,193.61
2019-05-14,218.51
2019-05-15,248.23
2019-05-16,262.74
2019-05-17,239.42
2019-05-18,234.62
2019-05-19,262.38
2019-05-20,249.95
2019-05-21,256.09
2019-05-22,244.34
2019-05-23,244.0
2019-05-24,248.36
2019-05-25,251.32
2019-05-26,264.77
2019-05-27,272.11
2019-05-28,271.04
2019-05-29,270.4
2019-05-30,251.9
2019-05-31,265.0
2019-06-01,265.13
2019-06-02,269.46
2019-06-03,256.46
2019-06-04,238.88
2019-06-05,246.45
2019-06-06,243.75
2019-06-07,250.02
2019-06-08,244.22
2019-06-09,228.89
2019-06-10,244.42
2019-06-11,245.74
2019-06-12,256.01
2019-06-13,254.83
2019-06-14,263.16
2019-06-15,268.36
2019-06-16,270.03
2019-06-17,274.61
2019-06-18,263.04
2019-06-19,268.8
2019-06-20,272.41
2019-06-21,293.17
2019-06-22,307.81
2019-06-23,310.35
2019-06-24,309.96
2019-06-25,317.24
2019-06-26,335.15
2019-06-27,302.17
2019-06-28,311.96
2019-06-29,315.72
2019-06-30,295.63
2019-07-01,294.41
2019-07-02,291.98
2019-07-15,231.97
2019-07-16,197.6
2019-07-18,211.67
2019-07-19,220.93
2019-07-20,233.14
2019-07-21,224.62
2019-07-22,217.15
2019-07-23,213.42
2019-07-24,214.86
2019-07-25,219.98
2019-07-26,218.34
2019-07-27,206.29
2019-07-28,208.48
2019-07-29,212.01
2019-07-30,210.0
2019-07-31,217.4
2019-08-01,216.97
2019-08-02,217.0
2019-08-03,221.18
2019-08-04,221.66
2019-08-05,231.51
2019-08-06,224.94
2019-08-07,226.66
2019-08-08,221.17
2019-08-09,209.35
2019-08-10,206.27
2019-08-11,215.63
2019-08-12,211.83
2019-08-13,208.98
2019-08-14,189.37
2019-08-15,186.85
2019-08-16,186.07
2019-08-17,185.75
2019-08-18,196.34
2019-08-19,203.1
2019-08-20,196.65
2019-08-21,184.39
2019-08-22,192.76
2019-08-23,194.16
2019-08-24,190.8
2019-08-25,186.0
2019-08-26,188.4
2019-08-27,187.44
2019-08-28,173.59
2019-08-29,168.34
2019-08-30,168.78
2019-08-31,171.67
2019-09-01,170.97
2019-09-02,178.1
2019-09-03,179.44
2019-09-04,174.67
2019-09-05,175.37
2019-09-06,168.81
2019-09-07,177.86
2019-09-08,181.34
2019-09-09,181.97
2019-09-10,179.83
2019-09-11,177.57
2019-09-12,180.29
2019-09-13,180.47
2019-09-14,187.62
2019-09-15,188.87
2019-09-16,197.47
2019-09-17,210.03
2019-09-18,211.0
2019-09-19,219.99
2019-09-20,216.05
2019-09-21,216.14
2019-09-22,210.44
2019-09-23,201.17
2019-09-24,169.36
2019-09-25,168.78
2019-09-26,165.86
2019-09-27,173.1
2019-09-28,172.88
2019-09-29,169.94
2019-09-30,178.0
2019-10-01,177.21
2019-10-02,180.89
2019-10-03,175.66
2019-10-04,176.06
2019-10-05,175.6
2019-10-06,168.53
2019-10-07,181.58
2019-10-08,180.46
2019-10-09,193.05
2019-10-10,191.82
2019-10-11,181.26
2019-10-12,180.63
2019-10-13,181.77
2019-10-14,185.57
2019-10-15,179.59
2019-10-16,175.49
2019-10-17,176.11
2019-10-18,173.61
2019-10-19,171.44
2019-10-20,174.66
2019-10-21,173.32
2019-10-22,170.84
2019-10-23,159.58
2019-10-24,160.98
2019-10-25,179.78
2019-10-26,177.99
2019-10-27,183.84
2019-10-28,183.58
2019-10-29,190.66
2019-10-30,183.8
2019-10-31,181.43
2019-11-01,183.04
2019-11-02,182.56
2019-11-03,182.16
2019-11-04,185.33
2019-11-05,188.85
2019-11-06,190.99
2019-11-07,186.31
2019-11-08,183.41
2019-11-09,185.35
2019-11-10,189.15
2019-11-11,184.75
2019-11-12,186.24
2019-11-13,188.23
2019-11-14,185.36
2019-11-15,179.99
2019-11-16,182.44
2019-11-17,183.21
2019-11-18,178.39
2019-11-19,175.41
2019-11-20,174.83
2019-11-21,160.22
2019-11-22,148.27
2019-11-23,151.98
2019-11-24,139.94
2019-11-25,146.49
2019-11-26,147.75
2019-11-27,153.47
2019-11-28,150.47
2019-11-29,154.22
2019-11-30,150.76
2019-12-01,150.99
2019-12-02,148.79
2019-12-03,146.52
2019-12-04,145.62
2019-12-05,147.3
2019-12-06,148.69
2019-12-07,146.9
2019-12-08,150.4
2019-12-09,147.51
2019-12-10,145.67
2019-12-11,143.15
2019-12-12,145.27
2019-12-13,144.93
2019-12-14,141.73
2019-12-15,142.23
2019-12-16,132.7
2019-12-17,121.88
2019-12-18,133.12
2019-12-19,128.5
2019-12-20,128.03
2019-12-21,127.17
2019-12-22,132.63
2019-12-23,127.74
2019-12-24,127.46
2019-12-25,125.36
2019-12-26,125.42
2019-12-27,126.25
2019-12-28,127.79
2019-12-29,133.4
2019-12-30,131.5
2019-12-31,128.79
2020-01-01,130.42
2020-01-02,127.3
2020-01-03,134.04
2020-01-04,134.93
2020-01-05,135.12
2020-01-06,144.48
2020-01-07,143.54
2020-01-08,139.99
2020-01-09,137.85
2020-01-10,144.0
2020-01-11,142.74
2020-01-12,146.16
2020-01-13,144.14
2020-01-14,166.34
2020-01-15,165.93
2020-01-16,163.62
2020-01-17,171.35
2020-01-18,174.17
2020-01-19,166.98
2020-01-20,165.97
2020-01-21,169.97
2020-01-22,168.17
2020-01-23,162.4
2020-01-24,160.96
2020-01-25,160.22
2020-01-26,168.35
2020-01-27,170.52
2020-01-28,176.46
2020-01-29,172.31
2020-01-30,185.48
2020-01-31,179.48
2020-02-01,182.64
2020-02-02,189.56
2020-02-03,190.65
2020-02-04,189.52
2020-02-05,201.6
2020-02-06,214.3
2020-02-07,222.92
2020-02-08,225.52
2020-02-09,228.14
2020-02-10,222.9
2020-02-11,241.88
2020-02-12,269.37
2020-02-13,265.52
2020-02-14,287.2
2020-02-15,260.97
2020-02-16,259.69
2020-02-17,265.09
2020-02-18,280.03
2020-02-19,262.08
2020-02-20,256.38
2020-02-21,265.5
2020-02-22,262.07
2020-02-23,274.89
2020-02-24,265.15
2020-02-25,249.51
2020-02-26,219.67
2020-02-27,228.73
2020-02-28,229.28
2020-02-29,219.91
2020-03-01,218.3
2020-03-02,229.15
2020-03-03,223.64
2020-03-04,225.58
2020-03-05,228.57
2020-03-06,243.79
2020-03-07,234.02
2020-03-08,201.13
2020-03-09,198.22
2020-03-10,200.47
2020-03-11,192.95
2020-03-12,120.67
2020-03-13,134.68
2020-03-14,122.11
2020-03-15,125.51
2020-03-16,107.9
2020-03-17,116.97
2020-03-18,116.32
2020-03-19,137.24
2020-03-20,130.07
2020-03-21,132.5
2020-03-22,122.68
2020-03-23,134.16
2020-03-24,139.22
2020-03-25,135.35
2020-03-26,136.91
2020-03-27,136.42
2020-03-28,130.83
2020-03-29,125.82
2020-03-30,133.0
2020-03-31,133.56
2020-04-01,133.68
2020-04-02,141.46
2020-04-03,141.72
2020-04-04,144.25
2020-04-05,143.04
2020-04-06,165.7
2020-04-07,165.3
2020-04-08,172.5
2020-04-09,170.6
2020-04-10,157.51
2020-04-11,157.13
2020-04-12,161.93
2020-04-13,157.65
2020-04-14,159.25
2020-04-15,153.23
2020-04-16,173.85
2020-04-17,170.73
2020-04-18,186.92
2020-04-19,182.62
2020-04-20,171.82
2020-04-21,172.62
2020-04-22,182.39
2020-04-23,187.35
2020-04-24,186.98
2020-04-25,193.13
2020-04-26,195.58
2020-04-27,196.24
2020-04-28,196.96
2020-04-29,215.46
2020-04-30,208.83
2020-05-01,212.83
2020-05-02,214.24
2020-05-03,209.91
2020-05-04,208.0
2020-05-05,205.06
2020-05-06,205.08
2020-05-07,212.27
2020-05-08,212.64
2020-05-09,211.01
