Date,High,Low,Mid,Last,Bid,Ask,Volume
2022-10-02,0.43265,0.419,0.42273,0.42309,0.42257,0.42289,567608.50527292
2022-10-01,0.43778,0.42778,0.430325,0.42984,0.43016,0.43049,679338.45583537
2022-09-30,0.44114,0.42896,0.431485,0.43175,0.43136,0.43161,650765.53225859
2022-09-29,0.43999,0.42763,0.435885,0.43589,0.43575,0.43602,800580.13741202
2022-09-28,0.44295,0.4251,0.438195,0.4381,0.43805,0.43834,1194023.61744935
2022-09-27,0.46298,0.43746,0.44238,0.44245,0.44231,0.44245,793447.38535711
2022-09-26,0.4503,0.43654,0.44526,0.44529,0.44523,0.44529,1325617.03343995
2022-09-25,0.46264,0.43909,0.44379,0.44339,0.44347,0.44411,869615.5500769
2022-09-24,0.46833,0.4503,0.45125,0.45117,0.45102,0.45148,841495.04413679
2022-09-23,0.48289,0.44617,0.465565,0.46555,0.46555,0.46558,356113.5633815
2022-09-22,0.46629,0.43469,0.46052,0.46012,0.46031,0.46073,310736.00443517
2022-09-21,0.4641,0.42393,0.43491,0.43469,0.43473,0.43509,959778.42544927
2022-09-20,0.45521,0.43754,0.44129,0.4413,0.44107,0.44151,261667.18457164
2022-09-19,0.45625,0.43297,0.45463,0.45452,0.45445,0.45481,364261.9125482
2022-09-18,0.49026,0.44,0.44984,0.45011,0.44957,0.45011,300244.13266468
2022-09-17,0.48622,0.46765,0.483705,0.48379,0.48351,0.4839,425233.2735166
2022-09-16,0.47008,0.45402,0.47002,0.46956,0.46989,0.47015,593363.37740825
2022-09-15,0.48307,0.46187,0.46532,0.46475,0.46503,0.46561,400828.26953507
2022-09-14,0.48684,0.4615,0.48251,0.48234,0.48229,0.48273,358167.56772982
2022-09-13,0.5083,0.46268,0.46665,0.46612,0.46651,0.46679,1080515.04956649
2022-09-12,0.51959,0.49605,0.50315,0.50323,0.50296,0.50334,544759.79360201
2022-09-11,0.51961,0.50035,0.50613,0.50566,0.50596,0.5063,469598.57441857003
2022-09-10,0.52426,0.49236,0.514305,0.51472,0.51408,0.51453,901342.24406203
2022-09-09,0.50438,0.47704,0.4968,0.49657,0.49668,0.49692,1019843.37421658
2022-09-08,0.48316,0.46282,0.478495,0.47821,0.47838,0.47861,363196.51425068
2022-09-07,0.48091,0.4538,0.48038,0.48017,0.48016,0.4806,526815.76736626
2022-09-06,0.51127,0.45989,0.466455,0.46646,0.46645,0.46646,1064474.22180183
2022-09-05,0.50673,0.48265,0.496995,0.4971,0.49688,0.49711,336857.77118577
2022-09-04,0.51057,0.47581,0.49877,0.49888,0.49858,0.49896,791241.75623517
2022-09-03,0.4855,0.45268,0.48214,0.48198,0.48198,0.4823,822183.98234709
2022-09-02,0.46597,0.44874,0.45454,0.45468,0.4544,0.45468,470384.26089074
2022-09-01,0.46137,0.44096,0.45644,0.45626,0.4563,0.45658,328122.07313652
2022-08-31,0.46306,0.4483,0.450705,0.45093,0.45064,0.45077,356676.16429657
2022-08-30,0.46334,0.43893,0.45449,0.45488,0.45437,0.45461,485997.50536986
2022-08-29,0.44975,0.42432,0.44717,0.4471,0.44706,0.44728,151910.18710788
2022-08-28,0.45418,0.43578,0.43599,0.43613,0.43579,0.43619,107882.52012433
2022-08-27,0.45105,0.42597,0.44725,0.44689,0.44707,0.44743,433740.1996238
2022-08-26,0.482,0.43608,0.43974,0.4402,0.43958,0.4399,1094811.68504677
2022-08-25,0.4737,0.45696,0.46351,0.4635,0.46334,0.46368,1067311.963088
2022-08-24,0.46942,0.45325,0.45874,0.45809,0.45849,0.45899,465212.06790207
2022-08-23,0.46686,0.4457,0.462,0.46146,0.46182,0.46218,338610.86164405
2022-08-22,0.46609,0.43738,0.4551,0.4549,0.45499,0.45521,328095.42786927
2022-08-21,0.47224,0.44643,0.46347,0.4636,0.46318,0.46376,532741.64483066
2022-08-20,0.46269,0.4354,0.448035,0.44812,0.44792,0.44815,281348.26237702
2022-08-19,0.52304,0.45016,0.45541,0.4549,0.45526,0.45556,901726.43649588
2022-08-18,0.54384,0.52528,0.5264,0.52649,0.52618,0.52662,262303.79288434
2022-08-17,0.58251,0.53054,0.534915,0.53455,0.53477,0.53506,686063.51055002
2022-08-16,0.56997,0.54625,0.55998,0.55974,0.55985,0.56011,145368.81719328
2022-08-15,0.58143,0.54392,0.54413,0.54394,0.54394,0.54432,643444.90977314
2022-08-14,0.59489,0.55712,0.569555,0.56919,0.56926,0.56985,541929.92677443
2022-08-13,0.56714,0.538,0.560325,0.56004,0.56006,0.56059,651518.57611444
2022-08-12,0.53959,0.5209,0.538425,0.53844,0.53841,0.53844,460610.90310694
2022-08-11,0.54735,0.53054,0.53058,0.53066,0.5303,0.53086,650292.18042099
2022-08-10,0.53878,0.50202,0.53563,0.53575,0.53545,0.53581,502417.35997333
2022-08-09,0.53826,0.50604,0.514135,0.51419,0.51392,0.51435,172983.63185361
2022-08-08,0.54936,0.5234,0.5358,0.53564,0.53566,0.53594,364901.08583258
2022-08-07,0.53754,0.50636,0.527695,0.5279,0.52743,0.52796,372827.03943421
2022-08-06,0.52299,0.51111,0.514855,0.51486,0.51449,0.51522,206033.40907888
2022-08-05,0.51931,0.49772,0.517605,0.51754,0.51729,0.51792,225503.45776844
2022-08-04,0.51084,0.49362,0.49759,0.49741,0.49728,0.4979,365402.78053541
2022-08-03,0.5163,0.48911,0.50124,0.50173,0.50086,0.50162,320014.61782928
2022-08-02,0.51499,0.48889,0.501325,0.5019,0.50113,0.50152,462564.82682426
2022-08-01,0.52587,0.50053,0.51173,0.51098,0.5113,0.51216,217436.43621587
2022-07-31,0.54366,0.51589,0.51763,0.51816,0.51744,0.51782,734304.55473328
2022-07-30,0.5559,0.50909,0.52577,0.52619,0.52548,0.52606,486482.44183422
2022-07-29,0.5451,0.50729,0.531065,0.5316,0.53079,0.53134,762779.90440846
2022-07-28,0.52426,0.48906,0.515045,0.51549,0.51492,0.51517,1150320.65155296
2022-07-27,0.51112,0.45876,0.507835,0.50793,0.50762,0.50805,2606666.41699994
2022-07-26,0.48817,0.4508,0.46442,0.46388,0.46422,0.46462,1264193.61854341
2022-07-25,0.51852,0.48045,0.488165,0.48791,0.48801,0.48832,226706.81619429
2022-07-24,0.53588,0.50982,0.514375,0.51422,0.51404,0.51471,270513.93857941
2022-07-23,0.5168,0.47314,0.515595,0.51581,0.51516,0.51603,499608.84618512
2022-07-22,0.51105,0.4772,0.48518,0.48492,0.48493,0.48543,436765.85421787
2022-07-21,0.50182,0.47551,0.49664,0.49624,0.49641,0.49687,615873.28380946
2022-07-20,0.5482,0.4892,0.492115,0.49236,0.49178,0.49245,1576040.11326612
2022-07-19,0.52538,0.47399,0.51801,0.51821,0.51779,0.51823,1649846.88046426
2022-07-18,0.49966,0.4461,0.481595,0.48111,0.4812,0.48199,3012684.84740357
2022-07-17,0.46552,0.44293,0.45193,0.45185,0.45172,0.45214,590013.12325702
2022-07-16,0.45888,0.43171,0.457785,0.4578,0.45758,0.45799,255717.48602427
2022-07-15,0.45331,0.43258,0.44325,0.44306,0.4431,0.4434,269816.69562879
2022-07-14,0.44531,0.41724,0.43873,0.43914,0.4386,0.43886,421541.97078453
2022-07-13,0.43493,0.40341,0.42728,0.42726,0.42708,0.42748,822501.99795257
