Date,High,Low,Mid,Last,Bid,Ask,Volume
2022-10-02,19386.0,19049.0,19165.5,19155.0,19165.0,19166.0,209.49276838
2022-10-01,19475.0,19165.0,19325.0,19323.0,19322.0,19328.0,44.73537926
2022-09-30,20170.0,19158.0,19379.5,19380.0,19377.0,19382.0,285.13212127
2022-09-29,19642.0,18857.0,19455.0,19451.0,19452.0,19458.0,264.15649679
2022-09-28,19768.0,18482.0,19490.5,19492.0,19489.0,19492.0,535.5859834
2022-09-27,20369.0,18833.0,19079.5,19082.0,19077.0,19082.0,469.50748247
2022-09-26,19309.0,18691.0,19141.5,19138.0,19139.0,19144.0,518.60822357
2022-09-25,19177.0,18644.0,18784.5,18784.0,18784.0,18785.0,310.31272031
2022-09-24,19395.0,18817.0,18872.5,18870.0,18871.0,18874.0,99.65138725999999
2022-09-23,19508.0,18527.0,19328.5,19329.0,19328.0,19329.0,177.56808645
2022-09-22,19497.0,18369.0,19386.5,19386.0,19386.0,19387.0,266.02653013
2022-09-21,19938.0,18159.0,18485.5,18483.0,18478.0,18493.0,896.64167143
2022-09-20,19628.0,18738.0,18950.0,18952.0,18948.0,18952.0,488.72564014
2022-09-19,19673.0,18259.0,19629.0,19624.0,19625.0,19633.0,576.75268213
2022-09-18,20138.0,19342.0,19440.5,19440.0,19440.0,19441.0,164.31623605
2022-09-17,20181.0,19701.0,20122.5,20121.0,20122.0,20123.0,304.31660593
2022-09-16,19880.0,19340.0,19733.5,19735.0,19732.0,19735.0,460.37207941
2022-09-15,20331.0,19505.0,19731.5,19728.0,19731.0,19732.0,268.73888302
2022-09-14,20525.0,19594.0,20293.5,20295.0,20291.0,20296.0,605.58099494
2022-09-13,22777.0,19877.0,20227.5,20229.0,20227.0,20228.0,659.27997429
2022-09-12,22471.0,21548.0,22302.5,22301.0,22302.0,22303.0,308.05582638
2022-09-11,21860.0,21358.0,21637.5,21643.0,21637.0,21638.0,161.58030128
2022-09-10,21793.0,21132.0,21780.5,21787.0,21775.0,21786.0,223.36369901
2022-09-09,21422.0,19286.0,21367.5,21368.0,21367.0,21368.0,437.66678893
2022-09-08,19453.0,19027.0,19303.0,19304.0,19301.0,19305.0,630.42429527
2022-09-07,19464.0,18545.0,19335.0,19337.0,19333.0,19337.0,346.34045293
2022-09-06,20181.0,18654.0,18912.5,18913.0,18912.0,18913.0,560.34080924
2022-09-05,20048.0,19642.0,19797.0,19796.0,19794.0,19800.0,104.1794513
2022-09-04,19949.0,19598.0,19837.5,19836.0,19836.0,19839.0,88.73469793
2022-09-03,20052.0,19664.0,19792.5,19792.0,19792.0,19793.0,85.63265598
2022-09-02,20440.0,19766.0,19992.5,19992.0,19992.0,19993.0,299.61068685
2022-09-01,20198.0,19576.0,20080.5,20080.0,20080.0,20081.0,376.3153453
2022-08-31,20484.0,19762.0,20147.5,20151.0,20147.0,20148.0,319.6679888
2022-08-30,20571.0,19555.0,19886.5,19888.0,19885.0,19888.0,362.40170193
2022-08-29,20419.0,19531.0,20196.0,20197.0,20195.0,20197.0,334.85889254
2022-08-28,20165.0,19819.0,19918.0,19920.0,19915.0,19921.0,262.65006894
2022-08-27,20624.0,19805.0,20012.5,20014.0,20012.0,20013.0,410.29697684
2022-08-26,21863.0,20542.0,20617.0,20619.0,20616.0,20618.0,405.03525943
2022-08-25,21811.0,21321.0,21583.5,21583.0,21582.0,21585.0,130.24714477
2022-08-24,21885.0,21161.0,21500.0,21502.0,21498.0,21502.0,525.97139948
2022-08-23,21681.0,20898.0,21480.5,21482.0,21480.0,21481.0,244.13066752
2022-08-22,21639.0,20910.0,21173.5,21173.0,21173.0,21174.0,167.89948204
2022-08-21,21781.0,21077.0,21566.5,21569.0,21566.0,21567.0,155.24313627
2022-08-20,21366.0,20776.0,21127.5,21127.0,21127.0,21128.0,186.11232946
2022-08-19,23380.0,20907.0,20964.5,20961.0,20964.0,20965.0,1336.15780701
2022-08-18,23591.0,23242.0,23346.5,23341.0,23343.0,23350.0,285.72780102
2022-08-17,24432.0,23190.0,23342.0,23345.0,23337.0,23347.0,608.24369448
2022-08-16,24239.0,23684.0,23857.5,23857.0,23857.0,23858.0,369.72672670000003
2022-08-15,25191.0,23888.0,24032.5,24037.0,24028.0,24037.0,934.73665005
2022-08-14,25011.0,24162.0,24276.5,24276.0,24276.0,24277.0,524.89652564
2022-08-13,24882.0,24201.0,24393.0,24390.0,24390.0,24396.0,334.99949051
2022-08-12,24269.0,23600.0,24227.5,24224.0,24223.0,24232.0,395.68615849
2022-08-11,24881.0,23826.0,23911.5,23918.0,23905.0,23918.0,992.84005736
2022-08-10,24207.0,22651.0,23839.5,23841.0,23837.0,23842.0,699.7227055
2022-08-09,23916.0,22881.0,23165.0,23167.0,23163.0,23167.0,314.36993151
