Date,High,Low,Mid,Last,Bid,Ask,Volume
2022-10-02,1318.3,1286.1,1290.5,1289.3,1290.1,1290.9,659.21417955
2022-10-01,1333.9,1303.1,1312.75,1312.2,1312.5,1313.0,1418.76035447
2022-09-30,1372.6,1314.0,1322.35,1322.1,1322.1,1322.6,2722.65390915
2022-09-29,1351.6,1288.8,1329.1,1328.9,1328.9,1329.3,1261.45170132
2022-09-28,1355.2,1254.1,1338.2,1337.4,1337.9,1338.5,2072.81383373
2022-09-27,1400.0,1304.2,1328.55,1328.1,1328.5,1328.6,1762.87116846
2022-09-26,1340.8,1279.5,1327.7,1327.8,1327.4,1328.0,4271.18038957
2022-09-25,1336.8,1270.0,1290.0,1290.4,1289.7,1290.3,1294.45044282
2022-09-24,1348.8,1306.6,1314.05,1313.6,1313.6,1314.5,667.49503192
2022-09-23,1358.3,1262.4,1330.6,1330.3,1330.3,1330.9,1817.87756723
2022-09-22,1335.6,1237.5,1323.35,1323.1,1323.1,1323.6,2661.75780971
2022-09-21,1409.4,1220.4,1243.05,1242.8,1242.7,1243.4,4252.99195438
2022-09-20,1387.8,1313.6,1330.25,1330.1,1329.8,1330.7,1153.2969914
2022-09-19,1391.6,1281.3,1389.1,1388.8,1388.8,1389.4,2320.75748671
2022-09-18,1473.5,1324.9,1340.95,1340.6,1340.6,1341.3,2758.26748319
2022-09-17,1476.2,1410.2,1465.3,1465.6,1465.0,1465.6,4926.32953775
2022-09-16,1482.3,1406.8,1433.55,1433.7,1433.4,1433.7,6640.73264432
2022-09-15,1653.0,1458.7,1474.8,1474.3,1474.4,1475.2,9481.53792706
2022-09-14,1645.9,1551.1,1635.8,1636.6,1634.8,1636.8,5627.12968139
2022-09-13,1760.0,1570.9,1588.35,1590.0,1588.1,1588.6,5012.55010557
2022-09-12,1783.1,1694.4,1705.2,1705.0,1704.9,1705.5,1554.85808264
2022-09-11,1788.6,1720.3,1745.5,1746.4,1745.1,1745.9,698.08092646
2022-09-10,1788.0,1706.8,1784.0,1784.6,1783.3,1784.7,1177.88404983
2022-09-09,1745.8,1627.3,1720.15,1720.8,1719.8,1720.5,2638.04024802
2022-09-08,1663.2,1595.8,1630.95,1631.0,1630.9,1631.0,2089.82820071
2022-09-07,1657.1,1490.7,1635.5,1636.1,1635.1,1635.9,2112.18373313
2022-09-06,1686.2,1556.0,1579.95,1579.6,1579.6,1580.3,3910.21977621
2022-09-05,1610.0,1557.7,1605.2,1604.2,1604.9,1605.5,827.8344939
2022-09-04,1582.2,1541.9,1567.2,1567.6,1566.8,1567.6,1129.28381282
2022-09-03,1582.3,1534.7,1554.6,1554.2,1554.2,1555.0,753.68364451
2022-09-02,1646.7,1546.6,1580.95,1581.4,1580.5,1581.4,2409.11142045
2022-09-01,1598.6,1514.2,1585.4,1586.1,1585.0,1585.8,2496.38134688
2022-08-31,1618.4,1512.4,1566.3,1566.9,1566.0,1566.6,3420.06849784
2022-08-30,1604.5,1475.0,1543.65,1543.9,1543.4,1543.9,3374.20762522
2022-08-29,1551.5,1423.0,1539.8,1539.2,1539.4,1540.2,3898.01206037
2022-08-28,1510.5,1460.9,1466.45,1465.5,1465.9,1467.0,2342.10752932
2022-08-27,1550.9,1448.2,1486.0,1485.5,1485.5,1486.5,4945.41734034
2022-08-26,1704.5,1537.8,1549.75,1549.3,1549.5,1550.0,2818.77097805
2022-08-25,1721.1,1651.8,1695.9,1696.1,1695.6,1696.2,2519.02419797
2022-08-24,1694.0,1606.5,1660.85,1661.9,1660.4,1661.3,1089.85058575
2022-08-23,1675.2,1564.5,1652.8,1653.4,1652.2,1653.4,1718.5659004
2022-08-22,1631.6,1530.7,1587.55,1587.5,1587.5,1587.6,1657.21312841
2022-08-21,1644.6,1563.6,1618.25,1618.5,1617.9,1618.6,1472.80338147
2022-08-20,1655.8,1522.6,1574.1,1573.6,1573.6,1574.6,3160.16442749
2022-08-19,1871.0,1612.8,1618.9,1619.5,1618.2,1619.6,4736.50104592
2022-08-18,1880.8,1821.4,1867.4,1867.8,1867.0,1867.8,716.36090879
2022-08-17,1955.8,1786.1,1828.0,1827.4,1827.4,1828.6,9075.15679678
2022-08-16,1914.6,1853.3,1872.7,1873.0,1872.4,1873.0,1423.75744708
2022-08-15,2011.5,1872.6,1896.5,1897.1,1896.1,1896.9,4792.55140117
2022-08-14,2029.7,1907.9,1934.0,1935.3,1933.8,1934.2,1480.12361453
2022-08-13,2018.5,1927.0,1978.2,1978.8,1977.6,1978.8,3320.61971396
2022-08-12,1937.5,1853.1,1930.25,1930.8,1929.7,1930.8,1733.6450410099999
