index,FINAL
2020-01-01,7202.7
2020-01-02,7152.0
2020-01-03,7259.7
2020-01-04,7343.9
2020-01-05,7428.5
2020-01-06,7546.5
2020-01-07,7882.7
2020-01-08,8311.1
2020-01-09,7935.8
2020-01-10,7704.6
2020-01-11,8060.1
2020-01-12,8134.9
2020-01-13,8129.9
2020-01-14,8512.7
2020-01-15,8638.2
2020-01-16,8676.0
2020-01-17,8940.0
2020-01-18,8864.5
2020-01-19,9113.0
2020-01-20,8646.8
2020-01-21,8660.8
2020-01-22,8682.4
2020-01-23,8515.9
2020-01-24,8332.0
2020-01-25,8365.8
2020-01-26,8417.0
2020-01-27,8611.0
2020-01-28,8999.4
2020-01-29,9385.0
2020-01-30,9375.1
2020-01-31,9380.7
2020-02-01,9390.7
2020-02-02,9365.2
2020-02-03,9380.2
2020-02-04,9248.2
2020-02-05,9260.0
2020-02-06,9652.5
2020-02-07,9776.9
2020-02-08,9816.7
2020-02-09,10124.4
2020-02-10,9929.1
2020-02-11,9797.2
2020-02-12,10300.1
2020-02-13,10278.5
2020-02-14,10176.6
2020-02-15,10259.7
2020-02-16,9994.0
2020-02-17,9805.4
2020-02-18,9753.8
2020-02-19,10167.6
2020-02-20,9588.0
2020-02-21,9643.9
2020-02-22,9639.4
2020-02-23,9889.3
2020-02-24,9756.2
2020-02-25,9555.3
2020-02-26,9198.9
2020-02-27,8787.5
2020-02-28,8710.0
2020-02-29,8748.5
2020-03-01,8534.8
2020-03-02,8665.3
2020-03-03,8779.5
2020-03-04,8817.0
2020-03-05,8921.6
2020-03-06,9115.0
2020-03-07,9105.4
2020-03-08,8725.9
2020-03-09,7970.3
2020-03-10,7905.9
2020-03-11,7825.2
2020-03-12,7379.9
2020-03-13,5250.1
2020-03-14,5355.3
2020-03-15,5232.7
2020-03-16,4905.8
2020-03-17,5282.8
2020-03-18,5167.0
2020-03-19,5406.9
2020-03-20,6600.0
2020-03-21,6112.7
2020-03-22,6240.0
2020-03-23,5768.5
2020-03-24,6711.6
2020-03-25,6780.0
2020-03-26,6614.5
2020-03-27,6675.3
2020-03-28,6254.5
2020-03-29,6129.9
2020-03-30,6266.4
2020-03-31,6491.5
2020-04-01,6307.3
2020-04-02,6647.4
2020-04-03,6924.6
2020-04-04,6778.8
2020-04-05,6776.6
2020-04-06,7041.3
2020-04-07,7356.1
2020-04-08,7292.0
2020-04-09,7330.4
2020-04-10,6921.2
2020-04-11,6877.5
2020-04-12,6827.6
2020-04-13,6702.0
2020-04-14,6783.3
2020-04-15,6846.6
2020-04-16,7047.2
2020-04-17,7060.7
2020-04-18,7089.1
2020-04-19,7146.5
2020-04-20,7150.0
2020-04-21,6859.6
2020-04-22,6944.9
2020-04-23,7077.6
2020-04-24,7551.9
2020-04-25,7549.7
2020-04-26,7551.5
2020-04-27,7701.1
2020-04-28,7686.4
2020-04-29,7941.7
2020-04-30,9122.5
2020-05-01,8797.1
2020-05-02,8776.9
2020-05-03,9032.5
2020-05-04,8692.9
2020-05-05,9034.7
2020-05-06,9044.0
2020-05-07,9337.6
2020-05-08,9859.0
2020-05-09,9683.2
2020-05-10,8811.4
2020-05-11,8635.0
2020-05-12,8747.2
2020-05-13,8905.3
2020-05-14,9608.5
2020-05-15,9608.1
2020-05-16,9423.7
2020-05-17,9491.3
2020-05-18,9588.9
2020-05-19,9804.6
2020-05-20,9783.0
2020-05-21,9376.0
2020-05-22,9091.3
2020-05-23,9188.4
2020-05-24,9260.1
2020-05-25,8821.6
2020-05-26,8962.7
2020-05-27,8926.8
2020-05-28,9188.5
2020-05-29,9448.6
2020-05-30,9532.1
2020-05-31,9540.6
2020-06-01,9540.2
2020-06-02,10106.1
2020-06-03,9506.0
2020-06-04,9639.7
2020-06-05,9834.1
2020-06-06,9604.8
2020-06-07,9662.9
2020-06-08,9689.0
2020-06-09,9684.5
2020-06-10,9741.0
2020-06-11,9807.1
2020-06-12,9470.6
2020-06-13,9439.4
2020-06-14,9432.0
2020-06-15,9140.3
2020-06-16,9493.9
2020-06-17,9497.0
2020-06-18,9437.7
2020-06-19,9312.4
2020-06-20,9287.8
2020-06-21,9365.5
2020-06-22,9429.7
2020-06-23,9615.7
2020-06-24,9520.0
2020-06-25,9298.8
2020-06-26,9136.3
2020-06-27,9164.9
2020-06-28,9050.0
2020-06-29,9091.8
2020-06-30,9133.6
2020-07-01,9171.2
2020-07-02,9211.3
2020-07-03,9100.6
2020-07-04,9079.2
2020-07-05,9070.7
2020-07-06,9194.1
2020-07-07,9266.2
2020-07-08,9281.8
2020-07-09,9400.0
2020-07-10,9172.7
2020-07-11,9265.3
2020-07-12,9255.3
2020-07-13,9281.1
2020-07-14,9196.7
2020-07-15,9220.3
2020-07-16,9127.7
2020-07-17,9111.8
2020-07-18,9156.7
2020-07-19,9160.1
2020-07-20,9186.2
2020-07-21,9307.9
2020-07-22,9312.6
2020-07-23,9510.7
2020-07-24,9513.1
2020-07-25,9586.6
2020-07-26,9771.1
2020-07-27,10178.1
2020-07-28,10736.5
2020-07-29,11126.7
2020-07-30,11021.5
2020-07-31,11129.0
2020-08-01,11677.2
2020-08-02,11284.3
2020-08-03,11200.1
2020-08-04,11245.1
2020-08-05,11299.5
2020-08-06,11705.8
2020-08-07,11837.9
2020-08-08,11584.0
2020-08-09,11689.5
2020-08-10,11977.7
2020-08-11,11719.0
2020-08-12,11427.0
2020-08-13,11426.8
2020-08-14,11689.5
2020-08-15,11864.9
2020-08-16,11849.0
2020-08-17,11869.1
2020-08-18,12255.0
2020-08-19,11784.8
2020-08-20,11761.9
2020-08-21,11830.0
2020-08-22,11575.0
2020-08-23,11575.1
2020-08-24,11776.4
2020-08-25,11589.2
2020-08-26,11363.3
