index,,mac16,mac2,mac32,mac4,mac8
2020-01-05,mac16,,,,,
2020-01-05,mac2,,,,,
2020-01-05,mac32,,,,,
2020-01-05,mac4,,,,,
2020-01-05,mac8,,,,,
2020-01-12,mac16,,,,,
2020-01-12,mac2,,,,,
2020-01-12,mac32,,,,,
2020-01-12,mac4,,,,,
2020-01-12,mac8,,,,,
2020-01-19,mac16,,,,,
2020-01-19,mac2,,,,,
2020-01-19,mac32,,,,,
2020-01-19,mac4,,,,,
2020-01-19,mac8,,,,,
2020-01-26,mac16,,,,,
2020-01-26,mac2,,,,,
2020-01-26,mac32,,,,,
2020-01-26,mac4,,,,,
2020-01-26,mac8,,,,,
2020-02-02,mac16,,,,,
2020-02-02,mac2,,,,,
2020-02-02,mac32,,,,,
2020-02-02,mac4,,,,,
2020-02-02,mac8,,,,,
2020-02-09,mac16,,,,,
2020-02-09,mac2,,,,,
2020-02-09,mac32,,,,,
2020-02-09,mac4,,,,,
2020-02-09,mac8,,,,,
2020-02-16,mac16,,,,,
2020-02-16,mac2,,,,,
2020-02-16,mac32,,,,,
2020-02-16,mac4,,,,,
2020-02-16,mac8,,,,,
2020-02-23,mac16,,,,,
2020-02-23,mac2,,,,,
2020-02-23,mac32,,,,,
2020-02-23,mac4,,,,,
2020-02-23,mac8,,,,,
2020-03-01,mac16,,,,,
2020-03-01,mac2,,,,,
2020-03-01,mac32,,,,,
2020-03-01,mac4,,,,,
2020-03-01,mac8,,,,,
2020-03-08,mac16,1.0,-0.6275311722238961,,-0.3749502925991305,0.02404263493147477
2020-03-08,mac2,-0.6275311722238961,1.0,,0.7016476918998125,0.08498773907587916
2020-03-08,mac32,,,,,
2020-03-08,mac4,-0.3749502925991305,0.7016476918998125,,1.0,0.5563945753295669
2020-03-08,mac8,0.02404263493147477,0.08498773907587916,,0.5563945753295669,1.0
2020-03-15,mac16,1.0,0.9341670114812034,,0.893021429511148,0.9272958927477929
2020-03-15,mac2,0.9341670114812034,1.0,,0.9547135746713361,0.8951757577204735
2020-03-15,mac32,,,,,
2020-03-15,mac4,0.893021429511148,0.9547135746713361,,1.0,0.9303202991702708
2020-03-15,mac8,0.9272958927477929,0.8951757577204735,,0.9303202991702708,1.0
2020-03-22,mac16,1.0,0.9161151149255493,,0.8946777280413669,0.9181924459157289
2020-03-22,mac2,0.9161151149255493,1.0,,0.9564575596581039,0.9020127801166908
2020-03-22,mac32,,,,,
2020-03-22,mac4,0.8946777280413669,0.9564575596581039,,1.0,0.9360307218373949
2020-03-22,mac8,0.9181924459157289,0.9020127801166908,,0.9360307218373949,1.0
2020-03-29,mac16,1.0,0.9154592006386866,,0.895449651860745,0.9183311229223777
2020-03-29,mac2,0.9154592006386866,1.0,,0.9545694745302193,0.8991986838247515
2020-03-29,mac32,,,,,
2020-03-29,mac4,0.895449651860745,0.9545694745302193,,1.0,0.9367001626848142
2020-03-29,mac8,0.9183311229223777,0.8991986838247515,,0.9367001626848142,1.0
2020-04-05,mac16,1.0,0.8970122244963463,,0.8706444319840689,0.9027136376826539
2020-04-05,mac2,0.8970122244963463,1.0,,0.9542099670029924,0.8996602843005126
2020-04-05,mac32,,,,,
2020-04-05,mac4,0.8706444319840689,0.9542099670029924,,1.0,0.935911697459542
2020-04-05,mac8,0.9027136376826539,0.8996602843005126,,0.935911697459542,1.0
2020-04-12,mac16,1.0,0.891829138191359,,0.8671421150902167,0.8988070810858197
2020-04-12,mac2,0.891829138191359,1.0,,0.9543872594718943,0.90033449139346
2020-04-12,mac32,,,,,
2020-04-12,mac4,0.8671421150902167,0.9543872594718943,,1.0,0.9363020769523355
2020-04-12,mac8,0.8988070810858197,0.90033449139346,,0.9363020769523355,1.0
2020-04-19,mac16,1.0,0.8921075581339318,,0.8677035385130922,0.8987246374537707
2020-04-19,mac2,0.8921075581339318,1.0,,0.954470844113372,0.9004594195250426
2020-04-19,mac32,,,,,
2020-04-19,mac4,0.8677035385130922,0.954470844113372,,1.0,0.936168836652568
2020-04-19,mac8,0.8987246374537707,0.9004594195250426,,0.936168836652568,1.0
2020-04-26,mac16,1.0,0.8856144381948755,,0.8432757451900592,0.8559476183584089
2020-04-26,mac2,0.8856144381948755,1.0,,0.9504234219625732,0.8888312262986073
2020-04-26,mac32,,,,,
